dependabot[bot],"release, notes, https","signed-off-by, dependabot, bot","dependabot, bot, support","bot, support, github.com","from, 2.0.7, to"
Ekpenyong,,,,,
AhmedOsama,"add, files, via","files, via, upload",,,
davisc0801,"finalize, card, layouts","card, layouts, and","layouts, and, breakpoints",,
Kent Roth,"hooking, up, the","up, the, edit","the, edit, ticket","edit, ticket, page",
htstinson,,,,,
Joshua Gorospe,"updated, the, robotframework-test-assistant","the, robotframework-test-assistant, package",,,
123d-com,"add, files, via","files, via, upload",,,
cgiovano,,,,,
Joe Honton,,,,,
Mariano de Deus,"troka, kor, ba","kor, ba, tabela",,,
Christopher Lakey,"tweaks, to, exec","to, exec, model","merge, pull, request","pull, request, 190","request, 190, from"
Mike King,"style, login/out/signup, forms","login/out/signup, forms, navbar","forms, navbar, fix","navbar, fix, poking","fix, poking, around"
Robert Cochran,"sub, udon, for","udon, for, sora","for, sora, in","sora, in, 12/31","in, 12/31, tidal"
Alan Da Costa,"update, models.md, fix","models.md, fix, typos","fix, typos, and","typos, and, improve","and, improve, some"
Dan Frost,"finished, sign-in, handler","root, user, reducer","user, reducer, and","reducer, and, store",
dokyan1989,"finished, bootcamp, apis",,,,
batmanwgd,"beginning, of, the","of, the, project",,,
Kyle Biggs,"cleaning, out, wayland",,,,
Michael Sanders,"add, run, shfmt","use, bat, as","bat, as, manpager","as, manpager, see","manpager, see, https"
xyeimgs,,,,,
mandeep489,"delete, capstone, project.ipynb","delete, capstone, project.pptx",,,
LiftFork,,,,,
Chris Kocks,,,,,
Pierre-Marie Pédrot,"adapt, w.r.t, coq/coq","w.r.t, coq/coq, 11338","merge, pull, request","pull, request, 256","request, 256, from"
Kazeem Onisarotu,"feature, add, onboarding","add, onboarding, page","onboarding, page, added","page, added, onboarding","added, onboarding, page"
wangguobin,,,,,
lpg0,,,,,
youssef muhamad,"configure, eslint, and","eslint, and, prettier","and, prettier, to","prettier, to, automate","to, automate, styleguide"
aunmro,,,,,
Yona Appletree,"removed, commented, block",,,,
"Joe Garcia, CISSP","fix, 83, split","83, split, domain","split, domain, local","domain, local, queries","local, queries, for"
7ma7X,"up, 2019, 2020",,,,
MicrocosEm,"add, a, readme",,,,
Mohammed,,,,,
CoryBorek,"merge, branch, 'master","branch, 'master, into","'master, into, release",,
Zachary Rondos,"xcode, to, your","to, your, github","create, xcode_and_github.md, here","xcode_and_github.md, here, is","here, is, my"
gamsam,,,,,
Milad Norouzi,,,,,
Luc Rosenzweig,,,,,
Keks,"heavy_check_mark, сборка, 7",,,,
CorneliaKelinske,"working, on, the","on, the, saddle_points","the, saddle_points, exercise","saddle_points, exercise, just","exercise, just, trying"
Ben Parli,"update, tokio, 4","tokio, 4, update","4, update, tokio/async","update, tokio/async, fix","tokio/async, fix, config"
Jeremy Evans,"set, things, up",,,,
szabolaszlo,"admin, area, security",,,,
Tommy Chiang,"fix, layout, problem",,,,
Angel_Kitty,"merge, pull, request","pull, request, 635","request, 635, from","635, from, ototot/master","from, ototot/master, fix"
lIeSAUEr,,,,,
Rick Marry,"fix, endtime, bug","endtime, bug, that","bug, that, causes","that, causes, the","causes, the, entire"
liESAUer,,,,,
Maurice Perry,,,,,
Ivan Acosta-Rubio,"tue, dec, 31","dec, 31, 18:55:01","31, 18:55:01, cst","18:55:01, cst, 2019",
Conversation Learner Build,"chore, release, publish","release, publish, v0.501.14","publish, v0.501.14, skip","v0.501.14, skip, ci","update, samples, 276"
buildmaster,"sync, docs, from","docs, from, master","from, master, to","master, to, gh-pages",
beyonce knowles,,,,,
Jackie,"merge, pull, request","the, person, class","add, files, via","files, via, upload","creating, person, class"
Robert Brisita,"adding, run, instructions",,,,
Has3ong,,,,,
Alecia Vogel,"for, the, host","add, reducer, for","reducer, for, the","refactor, app.jsx, for","app.jsx, for, the"
Eldinnie,"merge, pull, request","pull, request, 6","request, 6, from","6, from, mcchew/newstuff","from, mcchew/newstuff, merge"
TrainwreckOfThought,,,,,
nicktackes,"with, mkdocs, version","mkdocs, version, 1.0.4","private, trial, added","trial, added, to","added, to, sdk"
gccunanan,"completed, basic, blog","basic, blog, app",,,
Charles_Kawczynski,"fix/clean, some, docs",,,,
bors[bot],"ci, skip, skip","skip, skip, ci","skip, ci, skip","ci, skip, netlify","skip, netlify, -bors-staging-tmp-194"
Terence Chang,"when, computing, end","computing, end, to","end, to, end","to, end, trip","end, trip, times"
Alvaro,"info, aceites, 2019","aceites, 2019, mucha","2019, mucha, informacion","mucha, informacion, sobre","informacion, sobre, aceites"
Johnny Hu,"add, tags, category","tags, category, impressions",,,
TylerSpaulding,"adding, user, profile","user, profile, picture/","profile, picture/, usernames",,
Taylor Cooke,"adding, base, files",,,,
Brad,"merge, pull, request","merge, branch, 'master","branch, 'master, into","'master, into, master","pull, request, 16"
Eddie Gomez,"to, date, with","update, to, date","date, with, brad","with, brad, dec","brad, dec, 30"
Eddie Gómez,"merge, pull, request","pull, request, 19","request, 19, from","19, from, bradicalone/master","from, bradicalone/master, oauth"
Joe,"fix, links, and","links, and, formatting",,,
Alrik Firl,"adding, other, tower","other, tower, properties","tower, properties, and","properties, and, modifiers",
Alex Kwiatkowski,"wip, rename, assetbalance","rename, assetbalance, struct","assetbalance, struct, account","rename, assetbalancestore, accountstore","update, boot, to"
shredofpiece,"reimplementing, debug, level","debug, level, including","level, including, smaller","including, smaller, ones","smaller, ones, and"
bbxyard,,,,,
Couchbase Build Team,"couchbase-lite-android, 2.8.0, build","2.8.0, build, 2.8.0-36","build, 2.8.0-36, 2019/12/31","2.8.0-36, 2019/12/31, 16:55:15","2019/12/31, 16:55:15, pst"
Anthony Mattson,"added, the, project","the, project, url","project, url, to","url, to, the","to, the, readme"
Tzung-Chien,"add, log, in","log, in, snakefile","update, cadd, file","update, pedia, simulator","rename, preprocess.py, to"
beginor,"format, app, shared","import, app-shared, module",,,
Adam Porter,"docs, add, screenshots","docs, how, to","how, to, get","to, get, rules",
Brad Heffernan,"updated, calamares, config",,,,
mrz1836,"ability, to, customize","to, customize, the","customize, the, cookie","the, cookie, name",
jacob guin,"markus, wants, code",,,,
daniel,,,,,
HaNaK0,"wrote, game, instead","game, instead, of","instead, of, engine",,
Raphael Uziel,,,,,
yujin_sakuma,,,,,
charlie brannan,,,,,
Roberto Abdelkader Martínez Pérez,"entity, base, class","base, class, thread","class, thread, and","thread, and, queue","and, queue, logic"
Vina Melody,"merge, pull, request","pull, request, 8","request, 8, from","8, from, iosconfsg/create-feedback","from, iosconfsg/create-feedback, submit"
jaredbucko,"added, promise, to","promise, to, createpdf","to, createpdf, function",,
Seyhan Halil,"first, 2020, commit","2020, commit, lul","commit, lul, wip","lul, wip, worked","wip, worked, on"
Chenna Kautilya,"added, ol, numbering","ol, numbering, in","numbering, in, telugu",,
Raphael Garcia Moreira,,,,,
Birger Evansson,"merge, pull, request","pull, request, 243","request, 243, from","243, from, birgerev/multithreading","from, birgerev/multithreading, multithreading"
Julian,"automatically, backed, up","backed, up, by","up, by, learn",,
Enigmatrix,,,,,
BIM-Nest,,,,,
Per Bergland,"add, usetracker, react-meteor-data","usetracker, react-meteor-data, 2.0.0","react-meteor-data, 2.0.0, or","2.0.0, or, later","or, later, 41318"
AlCalzone,"iobroker, add, getobjectlist","add, getobjectlist, async","getobjectlist, async, to","async, to, the","to, the, adapter"
Kevin Brown,"added, some, field","some, field, config","field, config, options","config, options, 41203",
Rudi Chen,"updates, typings, to","typings, to, update","to, update, 9","update, 9, 41102",
Honza Kalfus,"improved, type, definitions","type, definitions, for","definitions, for, react-widgets","for, react-widgets, 41270","react-widgets, 41270, improved"
Peter Matta,"update, react-native-zeroconf, types","react-native-zeroconf, types, to","types, to, v0.11","to, v0.11, 41284",
Grimmer,"add, typepojotomixed, to","typepojotomixed, to, mongoose","to, mongoose, schemaoptions","mongoose, schemaoptions, 41290",
pheromonez,"google__maps, google/maps, only","google/maps, only, allow","only, allow, calling","allow, calling, aspromise","calling, aspromise, if"
Matteo Frana,"checkedchildren, and, uncheckedchildren","and, uncheckedchildren, are","uncheckedchildren, are, optional","are, optional, 41274","optional, 41274, queryoptions"
Thomas Sondergaard,"argparse, argumentoptions.metavar, can","argumentoptions.metavar, can, be","can, be, an","be, an, array","an, array, 41283"
alexander diaz,"automatically, backed, up","backed, up, by","up, by, learn",,
Mulang Su,"tried, to, fixed","to, fixed, a","fixed, a, draw","a, draw, method","draw, method, from"
aimingqi,,,,,
Dave Thomas,"finalized, testing, and","testing, and, committed","and, committed, import_experts","committed, import_experts, to","import_experts, to, firestore"
Lili-Mae Edwards,"automatically, backed, up","backed, up, by","up, by, learn",,
Kein,,,,,
Antonio Mata,"recycle, add, engines","add, engines, required","engines, required, in","required, in, package.json",
Natalie Tapias,"letters, collection, takes","collection, takes, in","takes, in, an","in, an, array","an, array, of"
swordarrow2,,,,,
offwind1,,,,,
Arct,,,,,
Sen,"844, leetcode, problem","leetcode, problem, solved",,,
Delfio,"correções, nos, index","nos, index, e","index, e, novas","e, novas, tabelas","novas, tabelas, e"
qikaigao,,,,,
Jessica Triana,"automatically, backed, up","backed, up, by","up, by, learn",,
neonexe,"update, and, rename","and, rename, auto","rename, auto, data","auto, data, test","data, test, sheet1"
derykmakgill,,,,,
Madeleine Malmsten,"work, in, progress",,,,
Alessandro,"fix, wrong, arguments",,,,
kimseonghyeon96,"기초정보입력, 다중, alert","다중, alert, 수정",,,
imcoddy,"update, gitbook, by","gitbook, by, travisci","by, travisci, with","travisci, with, build","with, build, 112"
Joshua Studt,"existing, tests, now","tests, now, passing","now, passing, proxyfactory","passing, proxyfactory, resolving","proxyfactory, resolving, extension"
DuckieTV BuildBot,,,,,
CarlLazarus,"add, branch, text","branch, text, test","text, test, branching","test, branching, using","branching, using, readme.md"
dev-yakuza,"update, day, 10",,,,
Eddie,"minimum, cost, connect","cost, connect, sticks",,,
kiwixz,"add, ide, visual","ide, visual, studio","visual, studio, code",,
Wa-www,,,,,
RevonZev,"👌, improve, golden","improve, golden, sword","golden, sword, pickup","sword, pickup, reset","pickup, reset, timer"
Michaël Catanzariti,,,,,
Andrew Koebbe,"rough, eav, implementation","added, attribute, types","attribute, types, added","types, added, more","added, more, fixtures"
Sean Morris,"recursive, tests, run",,,,
Martin Davis,,,,,
woolimi,,,,,
Brian Andress,"add, boot, sector","boot, sector, fix","sector, fix, instructions","merge, branch, 'master","branch, 'master, of"
AvinashTiwari85,,,,,
Yomotsu,,,,,
SchizoDuckie,"fix, linux, setup","linux, setup, and","setup, and, icon","and, icon, fixes","icon, fixes, 632"
Garfield69,"and, add, a","the, progress, bars","switching, back, to","back, to, primary","to, primary, loggr"
Js41637 ftw,"put, torrentdialog, checkboxes","torrentdialog, checkboxes, in","checkboxes, in, collapse",,
garfield69,"events, listeners, and","listeners, and, publishers","and, publishers, as","publishers, as, at","as, at, v1.1.4"
hashashin,,,,,
Connor Wong,"trying, to, add","to, add, route","add, route, to","route, to, specfic","to, specfic, folders"
brad vanderbush,"started, express, session","express, session, authenticate","session, authenticate, adding","authenticate, adding, express-session","adding, express-session, mongo-connect"
BartechSpaceship,"fixed, get, call",,,,
Rahulnsharma45,"adding, media, queries",,,,
hkw,"update, link, to","link, to, sdetautomation","to, sdetautomation, and","sdetautomation, and, update","and, update, test"
Nizal,,,,,
trappertech,,,,,
HITalexwang,"add, input_encoder, for","input_encoder, for, easyfirstv2",,,
jotrick,,,,,
Hong Xu,"add, exception, handling","``, async, send","async, send, implementation","add, missing, changes","move, the, code"
Ben Holloway,"refactor, join, function",,,,
alex-bul,"add, saving, checkbox",,,,
Don McCaughey,"``, c-evo, ''","``, c-evo-x, ''","change, ``, c-evo","c-evo, '', to","'', to, ``"
nakaokagabriel,"added, functionality, to","functionality, to, create","to, create, students",,
Nakaoka,"merge, pull, request","pull, request, 22","request, 22, from","22, from, nakaokagabriel/register-student","from, nakaokagabriel/register-student, added"
dk,"merge, branch, 'develop","branch, 'develop, into","'develop, into, dk","funding, toolbar, revise","branch, 'develop, of"
MJ Studio,"merge, branch, 'develop","branch, 'develop, of","'develop, of, https","of, https, //github.com/fundito/fundito-android","https, //github.com/fundito/fundito-android, into"
leesungeun,,,,,
Bartek,,,,,
mika,"esc, key, to","key, to, activate","to, activate, recent","activate, recent, grid","recent, grid, if"
Sixtomaster,"las, listas, compartidas","add, files, via","files, via, upload","via, upload, esta","upload, esta, es"
Boris Rybalkin,,,,,
MypDNS,"skip, ci, commit","ci, commit, from","commit, from, ci","from, ci, runner",
Elliot Haisley,"start, e820, paging",,,,
dhrumpy,"collecting, the, data","the, data, pertaining","data, pertaining, to","pertaining, to, the","to, the, keyword"
Alex Forrence,"first, try, cibuildwheel","maybe, deal, w","deal, w, linux","only, run, once","touchy, as, all"
Roberto Osorio,,,,,
Brady Pascoe,"chore, remove, uneeded","remove, uneeded, file",,,
Jerry Hong,"polish, for, public","for, public, view","public, view, add","view, add, real","add, real, explanations"
anpaus,,,,,
Nischal Hada,"implemented, quizbutton, and","quizbutton, and, quizresult","merge, pull, request","pull, request, 2","request, 2, from"
Caesar Ladion,"added, catalog, service","catalog, service, address","service, address, to","address, to, checkout","to, checkout, method"
NUR-HADI-E41181216,"menambahkan, admin, ke","admin, ke, simbafix",,,
Anthony Petre,"add, a, deployment","a, deployment, stage","deployment, stage, to","stage, to, the","to, the, pipeline"
Stephen Ibanez,"updated, nn, inference","nn, inference, app","inference, app, and","app, and, test","and, test, to"
Taishawn King,"automatically, backed, up","backed, up, by","up, by, learn",,
Leandro Santos de Carvalho,"algumas, incompatibilidades, de","incompatibilidades, de, versões",,,
Khan Baykaner,"bugfix, missing, include",,,,
ibercovich,"new, public, as","public, as, root",,,
Yatzii,"illidan, change, playmusic","change, playmusic, to","playmusic, to, correct","to, correct, id",
Fernando Sinigaglia,,,,,
Orwill Towne,"add, podman, support","podman, support, to","support, to, setup.sh",,
Erik Wramner,"merge, pull, request","changed, wrong, set","wrong, set, options","set, options, in","options, in, pflogsumm"
Nick Pappas,"'master, of, github.com","of, github.com, tomav/docker-mailserver","merge, branch, 'master","branch, 'master, of","github.com, tomav/docker-mailserver, 'master"
Michael Graeb,"log, tests, use","tests, use, random","use, random, filenames","random, filenames, to","filenames, to, avoid"
solareenlo,,,,,
Alexander C,"let, 's, just","'s, just, do","just, do, it","do, it, ourselves",
Hansel De La Cruz,,,,,
thutasein,"add, css, website",,,,
ctrl-i,"data, for, 2020-01-01","updating, the, flight","the, flight, data","flight, data, for","updating, the, car"
Izaak van Dongen,"fix, problem, and","problem, and, add","and, add, foot",,
Peyton Sonnefeld,"overflow, scroll, with","scroll, with, morty","with, morty, library",,
ElanurGuduk,,,,,
maofa,,,,,
elbaro,"update, generate.sh, absolute","generate.sh, absolute, path","absolute, path, for","path, for, aspects_dir",
Баранцев Степан,"separated, cli, classes","cli, classes, into","classes, into, separate","into, separate, files","added, cli_helper, class"
joanlb,"ok, 5am, it","5am, it, works","it, works, for","works, for, real","small, is, a"
Andrew Griswold,"deleted, react, icon",,,,
Andy Crocker,"add, shadow, listing","shadow, listing, view",,,
Josh Rolstad,"adding, ability, to","ability, to, get","to, get, repositories","adding, case, insensitive","case, insensitive, search"
Vici Shaweddy,,,,,
Davis Terrence,,,,,
Dannon,"merge, pull, request","pull, request, 8813","request, 8813, from","8813, from, nerdinacan/current_user_store","from, nerdinacan/current_user_store, client-side"
mvdbeek,"do, n't, use","n't, use, a","use, a, thread","a, thread, local","thread, local, toolshedrepositorycache"
Nicola Soranzo,"19.09, do, n't","do, n't, fail","n't, fail, container","fail, container, resolution","container, resolution, if"
guerler,"in, installation, monitor","add, monitor, test","monitor, test, cases","test, cases, duplicate","cases, duplicate, removal"
Björn Grüning,"revert, ``, 19.09","``, 19.09, fix","19.09, fix, detached","fix, detached, parent","detached, parent, instance"
Husen Lokhandwala Home,"added, table, search","table, search, admin","search, admin, profile","admin, profile, and","profile, and, issue"
hkamran490,"sprites, can, be","can, be, rendered","removed, syso, statement","syso, statement, for","statement, for, stack"
Sixeye,"making, redaction, libre","redaction, libre, crud",,,
lzg,"site, updated, 2020-01-01","updated, 2020-01-01, 08:56:07",,,
Nigel B. Peck,,,,,
Zevest,"fixed, issue, and","issue, and, added","and, added, test","added, test, fixed","test, fixed, missing"
matrayu,"updated, all, route","all, route, code","route, code, to","code, to, be","to, be, more"
Aditya Ekawade,"organize, associated, gtr","associated, gtr, genes",,,
gowtham,,,,,
acastroaraujo,,,,,
Garrett Henderson-Tjarks,"get, some, stuff","some, stuff, on","stuff, on, the","on, the, ui","ui, stuff, for"
Panzerhandschuh,"full, parse, of","parse, of, coli","of, coli, file","coli, file, to","file, to, data"
Chris Danis,"revert, ``, block","``, block, search","block, search, api","search, api, traffic","api, traffic, from"
Adith Widya Pradipta,"initial, creation, of","creation, of, layout","of, layout, component","layout, component, and","component, and, change"
Ken Galliher,"add, check, for","check, for, compress","for, compress, log","compress, log, table",
kammitama5,,,,,
sajad1993gh,"uploaded, new, resume",,,,
fungi,,,,,
yshah43,"add, files, via","files, via, upload",,,
Melissa Morin,,,,,
MistleHC,"junit, тесты, контролера","тесты, контролера, пользователя",,,
ghosthao.com,,,,,
MisterSimple,,,,,
App Academy Student,,,,,
Tobi Ola,"uploaded, previous, code",,,,
Jack Urso,,,,,
brian white,,,,,
csimal,"happy, new, year",,,,
SarKurd,,,,,
hyago,"tratamento, de, exeção",,,,
travis,"built, from, commit","from, commit, bce5c64b3fdb726e9ba42f1b9bb09c17d350476a",,,
Steve McKinnon,,,,,
Manasa Vesala,"validation, with, different","with, different, types","different, types, of","types, of, parentheses",
Elian Wonhalf,"fixed, a, couple","a, couple, bugs","couple, bugs, with","bugs, with, the","with, the, new"
Matthew J. Hughes,"began, building, out","building, out, html","out, html, templates","html, templates, and","templates, and, hooked"
Ryan Nemiroff,,,,,
David Wendt,"add, a, convenience","a, convenience, method","convenience, method, xmlnode.into_string","add, test, for","test, for, xml.parsexml"
Gabriel Woitechen,"chore, set, git","set, git, 's","git, 's, core.ignorecase","'s, core.ignorecase, to","core.ignorecase, to, false"
markcruse,"add, show/hide, continue","show/hide, continue, button",,,
ephellon,"update, packages, and","packages, and, urls",,,
Oleg Agafonov,"images, fixed, wrong","fixed, wrong, images","wrong, images, download","images, download, for","download, for, 6ed"
Ivana Jankovic,,,,,
zooduck,"use, daylight, hours","daylight, hours, to","hours, to, get","to, get, average","get, average, rating"
FlightlessMango,"add, 'windows, vulkan","'windows, vulkan, for","vulkan, for, stats","for, stats, table",
George Alan,"inicio, do, desafio","do, desafio, final","desafio, final, da","final, da, semana","da, semana, 6"
ermiry,"added, base, web","base, web, cerver","web, cerver, example",,
nice0001-angelo,"legacy, html, delete",,,,
Maria61,,,,,
Derek Shigetomi,"added, tilt, effect","tilt, effect, to","effect, to, about","to, about, me","about, me, image"
Jason Nelson,"remove, lazy, class",,,,
maciacco,"add, configuration, file","configuration, file, add","file, add, resolution","add, resolution, histograms",
Jeffrey Davis,"removed, the, contact","the, contact, page",,,
hunter-heidenreich,"add, more, counts","more, counts, and","counts, and, hashing","and, hashing, of","hashing, of, bills"
wahidibrahimy,"my, project, is","project, is, ready",,,
Michael Li,,,,,
Bhagavandas,"nordic, fix/disconnect, wait","fix/disconnect, wait, logic",,,
liyang,,,,,
Ryan Davis,"signed-off-by, ryan, davis","ryan, davis, zenspider","davis, zenspider, chef.io","metaprogramming, from, controlevalcontext","inspec, :plugins, :resource"
PikalaxALT,"consume-rest, in, markov","in, markov, command","fast, cog, load/reload","cog, load/reload, commands",
Dylan,,,,,
Dylan K,"merge, pull, request","pull, request, 8","request, 8, from","8, from, dmkite/home-image","from, dmkite/home-image, add"
codeHusky,"rc2, fixes, duped","fixes, duped, keys","duped, keys, being","keys, being, allowed",
Kasaract,"add, error, page","error, page, structure","add, about, page",,
Corey Farrell,"feat, support, native","support, native, esm","chore, release, 0.3.0",,
rricher,"this, was, done",,,,
Brandon Ebersohl,"added, collapse, functionality","collapse, functionality, to","functionality, to, panels",,
Jerad Maplethorpe,"merge, pull, request","pull, request, 19","request, 19, from","19, from, bebersohl/expand-panel","from, bebersohl/expand-panel, 7"
Lenin Alevski,"kes-fixes, fix, duplicated","fix, duplicated, volume","duplicated, volume, names","volume, names, when","names, when, mounting"
Mark Rousskov,"also, store, public","store, public, key","public, key, locally",,
jeffrey d johnson,"added, to, readme","changed, setup, moved","setup, moved, file","moved, file, untested",
Zachary Yedidia,"bracketed, paste, support",,,,
ifkirne,,,,,
Christian Clauss,,,,,
Wink Saville,"add, support, for","support, for, csv","for, csv, header","csv, header, row","header, row, track_point.py"
Paha Akos,,,,,
Hawken Rives,"begin, reworking, dp.server","reworking, dp.server, to","dp.server, to, share","to, share, a","share, a, connection"
zachhildreth,"invalid, previous, block","previous, block, hash","removed, checking, for","checking, for, invalid","for, invalid, previous"
ebisuke,"merge, pull, request","pull, request, 138","request, 138, from","138, from, ebisuke/develop","from, ebisuke/develop, 説明追加"
Suizhe.Li,,,,,
Luã Falcão,"included, user, logged","user, logged, menu",,,
Anderson de Paula Andrade Medeiros,"correções, formulário, cadastro","formulário, cadastro, candidato",,,
Nazrul Affiq Ahmad Amimar,,,,,
Khafid Prayoga,,,,,
Andreas Duschl,"update, header, info",,,,
Timothy Soehnlin,,,,,
Victor Wiebe,"test, outstanding, untested","outstanding, untested, lines",,,
Vikram B Rojo,"add, twitter, meta","twitter, meta, 5","meta, 5, add","5, add, twitter","twitter, meta, add"
Bill Zissimopoulos,"build, bump, version","bump, version, to","version, to, 2019.3","to, 2019.3, gold","update, changelog, for"
Beau Sherman,"update, rates, and","rates, and, gallery","merge, branch, 'master","branch, 'master, of","'master, of, https"
Scott Henderson,,,,,
Stefan,"update, gnucash, from","gnucash, from, 3.8b,1","from, 3.8b,1, to","3.8b,1, to, 3.8b,2","to, 3.8b,2, 74960"
Théo Zimmermann,"refman, add, missing","add, missing, s.","missing, s., cherry","s., cherry, picked","cherry, picked, from"
minterger,,,,,
Shruti,"um, idk, new","idk, new, constants","merge, branch, 'master","branch, 'master, of","'master, of, https"
Kadeem Jackson,"merge, branch, 'master","branch, 'master, of","'master, of, https","of, https, //github.com/cro5s/aa-classwork",
Gustavo Aguiar,"fin, de, año",,,,
João Victor Ramires Guimarães Brito,"feature, add, routing","feature, add, navbar","add, navbar, component","feature, add, login","add, login, form"
Nils Uliczka,"debug, output, port","output, port, as","port, as, well",,
kenichi04,,,,,
punchdrunker,,,,,
Dave Kelly,"added, the, ability","the, ability, to","ability, to, specify","to, specify, multiple","specify, multiple, values"
Benoit Goudreault-Emond,"merge, remote-tracking, branch","remote-tracking, branch, 'lory90/master",,,
Daniel Lazur,"automatically, backed, up","backed, up, by","up, by, learn",,
syuheifujita,,,,,
sparklyballs,"push, back, version.txt",,,,
B-Seite,"add, hoobs, accessory","hoobs, accessory, configfile","accessory, configfile, fix","configfile, fix, json","fix, json, error"
ivanelfak,,,,,
Hac,"reskin, 2nd, pass","2nd, pass, updates","pass, updates, to","updates, to, css","to, css, buttons"
Lewis Kwong,"player, information, working","information, working, now",,,
Dicky Herlambang,"circle-ci, unified, test","unified, test, lto","test, lto, 2","lto, 2, signed-off-by","2, signed-off-by, dicky"
Tony Morales,"uiview.ishidden, must, be","must, be, used","be, used, from","used, from, main","from, main, thread"
Karn Kaul,"wip, add, _glibcxx_debug","add, _glibcxx_debug, for","_glibcxx_debug, for, linux","for, linux, debug","linux, debug, builds"
Brad Anderson,"nav, mesh, generation","prevents, a, nav","a, nav, mesh","nav, mesh, link","mesh, link, from"
Trent Ellingsen,"added, a, trade","a, trade, thursday","trade, thursday, post",,
GloriousEggroll,"-finally-, fixed, to","fixed, to, compile","to, compile, properly","compile, properly, with","properly, with, proton"
Daniel Brannon,,,,,
botdevXD,"add, files, via","files, via, upload",,,
Emilio,"article, border, i","border, i, added","i, added, the","added, the, border","the, border, to"
Dmitri,"updated, package.json, and","package.json, and, package-lock",,,
voluble-system-8062,"automatically, backed, up","backed, up, by","up, by, learn",,
Suvash Shah Thakuri,,,,,
karleee,"finished, phase, 5",,,,
Tianyue-Zhao,"added, files, to","files, to, be","to, be, customized","reomoved, home, navbar","added, profile, picture"
Jeremey Lee,,,,,
Steve B,"created, random, select","random, select, func","select, func, for","func, for, options","for, options, array"
opttoopt,,,,,
ywsing,,,,,
neotsn neotsn,"updates, from, 3.2.8","template, updates, from","control, panel, template","panel, template, updates","remove, untouched, theme"
Marco Teixeira,,,,,
Luis Cardiel,,,,,
Khaled Mahmoud,,,,,
srmward,"abandon, yir, article",,,,
Sara,"added, human, input/output","human, input/output, story",,,
azaelthecrak,"menu, redes, sociales","redes, sociales, je","sociales, je, je",,
Bental Tagor,"implementing, the, merging","the, merging, intervals","merging, intervals, problem",,
Nick Mcco,"add, another, faq",,,,
tsugehara,"merge, pull, request","pull, request, 9","request, 9, from","9, from, shinonomekazan/ir/2019_3q_201910_201912","from, shinonomekazan/ir/2019_3q_201910_201912, 第3四半期の決算書を追加"
Michael Jackson,"updating, itkimageprocessing, submodule","itkimageprocessing, submodule, signed-off-by","submodule, signed-off-by, michael","signed-off-by, michael, jackson","michael, jackson, mike.jackson"
Rob Culliton,"greetings, because, feedback","because, feedback, is","feedback, is, important",,
Chandler King,"added, an, organization","an, organization, post","organization, post, route",,
egconley,"data, transfer, with","transfer, with, updates","with, updates, to","updates, to, hd_dosing","to, hd_dosing, table"
SMC Management Task,"auto, publish, 2020-01-01","publish, 2020-01-01, 00:57:30+00:00","publish, 2020-01-01, 00:57:42+00:00",,
Ethan Teague,"theming, home, page","home, page, and","page, and, footer",,
VitorMac10,"new, authentication/registration, method",,,,
Justin Huang,"add, interim, version","interim, version, of","version, of, bite","of, bite, 31","bite, 31, matmul.py"
tai1whip,,,,,
deepak,,,,,
esayson,"add, files, via","files, via, upload",,,
Fred Hornsey,"add, cmake, commands","cmake, commands, to","commands, to, docs/autobuild.txt","fix, indenting, on","indenting, on, run_command"
maxbachmann,"deploying, to, gh-pages","to, gh-pages, from","gh-pages, from, gh-pages","from, gh-pages, 019f00f2fd90de937e681b51e20d072e85e41aac",
Andrea Rodríguez,,,,,
Jessica Bainbridge-Smith,"cassandra, seeding, complete",,,,
yufeng04,"fix, bug, 11610","bug, 11610, pagination","11610, pagination, disappear",,
pissang,"fix, map, fix","map, fix, slice","fix, slice, is","slice, is, not","is, not, defined"
Yi Shen,"merge, pull, request","pull, request, 11952","request, 11952, from","11952, from, apache/fix-11610","from, apache/fix-11610, fix"
tkeffer@gmail.com,"changed, default, unit","default, unit, labels","unit, labels, to","labels, to, something","to, something, closer"
Penguin-Guru,"misc, and, more","and, more, proper","more, proper, fixes","proper, fixes, for","fixes, for, remote"
tatcjho,"create, listo, de","listo, de, medicamento",,,
DAVID SHIN,"automatically, backed, up","backed, up, by","up, by, learn",,
404,,,,,
Finto Machine User,,,,,
Naim Sulejmani,"pit, polygon, and","polygon, and, point",,,
weiguo xue,,,,,
Gabriel Schulhof,"remove, static, cast","static, cast, in","cast, in, constructor",,
Perelandra0x309,"update, install, pages",,,,
Jason Seidler,"added, use, of","use, of, routes","of, routes, for","routes, for, curl","commented, out, unused"
Jasper St. Pierre,,,,,
James Upjohn,"initialize, gradle, project",,,,
davidclifford,"wktlife, for, vga",,,,
William Mack,"resolved, keybind, conflict",,,,
KhioneusNevula,,,,,
haller218,,,,,
ed,"created, book, controller",,,,
jadcoinc,"merge, pull, request","pull, request, 7","request, 7, from","7, from, jadcoinc/section2lesson22","from, jadcoinc/section2lesson22, created"
xuri,"add, docs, for","docs, for, 3d","for, 3d, cone","3d, cone, series","cone, series, column"
zhaoshenglong,"add, reg, alloc",,,,
bartmika,"member, archive, gui","archive, gui, implemented",,,
Kevin Romero Garcia,,,,,
